UNIX Timestamp;Excel Timestamp;Date;Symbol;Open;High;Low;Close;Volume BTC;Volume EUR
1590019200,00;43972,00;21.05.20;BTCEUR;8671;8728.5;8610;8683.8;730.24;6328724.84
1589932800,00;43971,00;20.05.20;BTCEUR;8953.2;8982.4;8504.2;8671;8436.51;73994705.87
1589846400,00;43970,00;19.05.20;BTCEUR;8912;9010;8700;8953.2;8138.35;72121678.43
1589760000,00;43969,00;18.05.20;BTCEUR;8927;9145;8666;8912;8136.29;72524832.08
1589673600,00;43968,00;17.05.20;BTCEUR;8687.2;9098;8636.2;8927;6828.74;61014979.26
1589587200,00;43967,00;16.05.20;BTCEUR;8610.1;8847.3;8527.5;8687.2;3119.99;27158087.61
1589500800,00;43966,00;15.05.20;BTCEUR;9056.9;9103.6;8460;8610.1;9990.7;87826292.55
1589414400,00;43965,00;14.05.20;BTCEUR;8621.3;9200;8100;9056.9;14117.5;126217920.54
1589328000,00;43964,00;13.05.20;BTCEUR;8143.4;8715;8131.8;8621.3;8695.88;73073431.92
1589241600,00;43963,00;12.05.20;BTCEUR;7937.6;8287;7911.9;8143.4;6876.51;55935690.58
1589155200,00;43962,00;11.05.20;BTCEUR;8064.7;8521.3;7592.3;7937.6;17631.57;142255191.71
1589068800,00;43961,00;10.05.20;BTCEUR;8819.4;8833.3;7500;8064.7;18796.08;151714287.92
1588982400,00;43960,00;09.05.20;BTCEUR;9056.8;9149.2;8776.3;8819.4;7087.32;63334827.49
1588896000,00;43959,00;08.05.20;BTCEUR;9220.7;9256.1;8973.8;9056.8;9345.36;85561221.91
1588809600,00;43958,00;07.05.20;BTCEUR;8502.3;9278;8362.9;9220.7;16624.25;148046103.31
1588723200,00;43957,00;06.05.20;BTCEUR;8337.4;8719.5;8232.3;8502.3;10930.46;93185639.55
1588636800,00;43956,00;05.05.20;BTCEUR;8148.7;8385;8088.3;8337.4;8312.82;68479679.33
1588550400,00;43955,00;04.05.20;BTCEUR;8129.6;8220;7811;8148.7;8417.77;67631791.36
1588464000,00;43954,00;03.05.20;BTCEUR;8179.3;8370;7971.2;8129.6;6500.72;53106454.66
1588377600,00;43953,00;02.05.20;BTCEUR;8030.3;8201.3;7984;8179.3;3739.6;30299408.97
1588291200,00;43952,00;01.05.20;BTCEUR;7902.3;8288.3;7890.9;8030.3;6832.31;54940409.21
1588204800,00;43951,00;30.04.20;BTCEUR;8074.9;8737.2;7705;7902.3;21449.32;176432076.6
1588118400,00;43950,00;29.04.20;BTCEUR;7178;8267.3;7129;8074.9;20839.16;161384490.45
1588032000,00;43949,00;28.04.20;BTCEUR;7202.9;7206.5;7100;7178;4675.49;33404033.96
1587945600,00;43948,00;27.04.20;BTCEUR;7121.9;7216;7045.8;7202.9;6111.0;43534387.75
1587859200,00;43947,00;26.04.20;BTCEUR;6987.4;7129.9;6961;7121.9;4656.81;32861518.2
1587772800,00;43946,00;25.04.20;BTCEUR;6938;7120;6889.3;6987.4;3356.61;23491027.39
1587686400,00;43945,00;24.04.20;BTCEUR;6935;7080.6;6850.1;6938;6484.97;45250938.47
1587600000,00;43944,00;23.04.20;BTCEUR;6590;7150.8;6501.6;6935;10416.91;71051553.57
1587513600,00;43943,00;22.04.20;BTCEUR;6319.3;6620;6300;6590;6849.66;44491588.09
1587427200,00;43942,00;21.04.20;BTCEUR;6305.7;6425.6;6276;6319.3;6273.23;39754559.03
1587340800,00;43941,00;20.04.20;BTCEUR;6567.6;6650;6237.3;6305.7;8223.63;52902259.43
1587254400,00;43940,00;19.04.20;BTCEUR;6687.7;6699.7;6507;6567.6;2608.88;17199260.46
1587168000,00;43939,00;18.04.20;BTCEUR;6475.7;6720;6470.1;6687.7;3414.68;22624360.59
1587081600,00;43938,00;17.04.20;BTCEUR;6547.8;6597.9;6444.5;6475.7;4812.34;31385030.8
1586995200,00;43937,00;16.04.20;BTCEUR;6087.9;6635.9;5950.5;6547.8;13078.42;83679215.98
1586908800,00;43936,00;15.04.20;BTCEUR;6265.6;6330.1;6064;6087.9;6666.4;41415422.3
1586822400,00;43935,00;14.04.20;BTCEUR;6280.2;6380.9;6207.2;6265.6;5576.3;35097887.68
