Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume EUR
2020-04-29 12-PM,BTCEUR,7559.33,7631.25,7555.05,7558.66,0.6055,4595.69
2020-04-29 11-AM,BTCEUR,7518.17,7646.19,7518.17,7559.33,3.328,25277.28
2020-04-29 10-AM,BTCEUR,7421,7602.32,7401.25,7518.17,1.568,11716.55
2020-04-29 09-AM,BTCEUR,7337.21,7421,7334.36,7421,1.544,11442.24
2020-04-29 08-AM,BTCEUR,7368.54,7388.16,7336.95,7337.21,0.7937,5849.05
2020-04-29 07-AM,BTCEUR,7389.84,7392.95,7320.35,7368.54,2.816,20719.44
2020-04-29 06-AM,BTCEUR,7259.76,7389.84,7259.76,7389.84,2.293,16804.49
2020-04-29 05-AM,BTCEUR,7218.03,7297.58,7218.03,7259.76,4.201,30594.66
2020-04-29 04-AM,BTCEUR,7246.97,7246.97,7218.03,7218.03,0.2076,1498.9
2020-04-29 03-AM,BTCEUR,7178.84,7246.97,7178.84,7246.97,0.007895,56.88
2020-04-29 02-AM,BTCEUR,7179.02,7188.91,7162.19,7178.84,0.359,2577.12
2020-04-29 01-AM,BTCEUR,7171.65,7179.87,7171.36,7179.02,0.6926,4969.31
2020-04-29 12-AM,BTCEUR,7184.29,7188.11,7171.65,7171.65,0.3412,2451.14
2020-04-28 11-PM,BTCEUR,7181.74,7184.31,7181.74,7184.29,0.1227,881.31
2020-04-28 10-PM,BTCEUR,7185,7242.25,7181.73,7181.74,0.5129,3706.99
2020-04-28 09-PM,BTCEUR,7175.69,7240.2,7175.69,7185,0.1148,828.09
2020-04-28 08-PM,BTCEUR,7161.84,7224.8,7159.61,7175.69,1.596,11449.68
2020-04-28 07-PM,BTCEUR,7168.6,7241.7,7154.08,7161.84,0.2823,2042.76
2020-04-28 06-PM,BTCEUR,7200,7218.99,7151.9,7168.6,0.1022,734.43
2020-04-28 05-PM,BTCEUR,7147.77,7228.97,7143.7,7200,0.7639,5507.96
2020-04-28 04-PM,BTCEUR,7128.5,7212,7128.5,7147.77,0.1917,1373.18
2020-04-28 03-PM,BTCEUR,7150,7209.9,7126.48,7128.5,1.497,10721.04
2020-04-28 02-PM,BTCEUR,7162.25,7235.98,7145.01,7150,5.818,41637.29
2020-04-28 01-PM,BTCEUR,7146.07,7215.56,7145.78,7162.25,0.9001,6473.51
2020-04-28 12-PM,BTCEUR,7165,7165,7134.58,7146.07,0.1371,979.76
2020-04-28 11-AM,BTCEUR,7133.01,7299.99,7133.01,7165,120.04,865531.78
2020-04-28 10-AM,BTCEUR,7127.38,7150,7127.38,7133.01,0.08128,580.63
2020-04-28 09-AM,BTCEUR,7116,7164.49,7116,7127.38,0.2756,1972.87
2020-04-28 08-AM,BTCEUR,7140.01,7216.97,7116,7116,1.801,12862.89
2020-04-28 07-AM,BTCEUR,7147.6,7205.22,7140,7140.01,1.603,11467.8
2020-04-28 06-AM,BTCEUR,7120.56,7227.03,7110.01,7147.6,0.5478,3938.81
2020-04-28 05-AM,BTCEUR,7110.91,7120.56,7107.8,7120.56,0.03253,231.37
2020-04-28 04-AM,BTCEUR,7132.73,7168.2,7110.84,7110.91,0.03237,231.34
2020-04-28 03-AM,BTCEUR,7132.55,7132.73,7110.31,7132.73,0.06435,458.47
2020-04-28 02-AM,BTCEUR,7129.88,7132.55,7102.76,7132.55,0.01598,113.87
2020-04-28 01-AM,BTCEUR,7155.98,7156.47,7108.23,7129.88,9.832,70020.47
2020-04-28 12-AM,BTCEUR,7191.54,7199.42,7155.98,7155.98,0.1685,1212.18
2020-04-27 11-PM,BTCEUR,7174.02,7191.54,7164.89,7191.54,0.06544,469.81
2020-04-27 10-PM,BTCEUR,7175,7246.04,7155.89,7174.02,0.3363,2433.12
2020-04-27 09-PM,BTCEUR,7150.01,7246.91,7150.01,7175,0.2236,1612.92
2020-04-27 08-PM,BTCEUR,7213.64,7223.85,7150.01,7150.01,0.3568,2565.31
2020-04-27 07-PM,BTCEUR,7111.98,7235.55,7111.98,7213.64,4.865,35092.27
2020-04-27 06-PM,BTCEUR,7100.53,7160.27,7100.53,7111.98,0.3191,2282.54
2020-04-27 05-PM,BTCEUR,7100.02,7175.58,7100.02,7100.53,0.3227,2297.78
2020-04-27 04-PM,BTCEUR,7134.21,7204.01,7100.02,7100.02,6.63,47135.7
2020-04-27 03-PM,BTCEUR,7123.89,7214.24,7123.01,7134.21,0.5398,3851.64
2020-04-27 02-PM,BTCEUR,7154.01,7224.72,7111.01,7123.89,1.063,7597.71
2020-04-27 01-PM,BTCEUR,7221.62,7225.85,7154,7154.01,1.191,8538.88
2020-04-27 12-PM,BTCEUR,7166.25,7235.26,7159.1,7221.62,0.6168,4455.09
2020-04-27 11-AM,BTCEUR,7150,7213.06,7124.45,7166.25,1.213,8683.27
2020-04-27 10-AM,BTCEUR,7162.71,7242.65,7113.78,7150,2.435,17566.58
2020-04-27 09-AM,BTCEUR,7162.71,7264.69,7162.7,7162.71,103.28,744705.24
2020-04-27 08-AM,BTCEUR,7120.28,7197,7120.28,7162.71,0.6774,4869.54
2020-04-27 07-AM,BTCEUR,7105.68,7159,7095.49,7120.28,0.6828,4883.5
2020-04-27 06-AM,BTCEUR,7159.14,7198.17,7097.51,7105.68,1.876,13493.36
2020-04-27 05-AM,BTCEUR,7159.05,7171.8,7155,7159.14,0.06176,442.67
2020-04-27 04-AM,BTCEUR,7161.48,7200,7147.48,7159.05,0.6913,4971.54
2020-04-27 03-AM,BTCEUR,7157.85,7200,7148.49,7161.48,0.06695,479.81
2020-04-27 02-AM,BTCEUR,7143.62,7200,7143.62,7157.85,6.194,44478.73
2020-04-27 01-AM,BTCEUR,7153.06,7200,7138.98,7143.62,0.831,5981.84
2020-04-27 12-AM,BTCEUR,7062.94,7200,7062.94,7153.06,3.042,21850.88
2020-04-26 11-PM,BTCEUR,7062.94,7062.94,7062.94,7062.94,0.0,0.0
2020-04-26 10-PM,BTCEUR,7087.08,7164.86,7055.11,7062.94,0.8251,5865.35
2020-04-26 09-PM,BTCEUR,7174.19,7174.19,7065.38,7087.08,8.239,58423.67
2020-04-26 08-PM,BTCEUR,7119.55,7174.19,7119.55,7174.19,0.1973,1411.06
2020-04-26 07-PM,BTCEUR,7098.26,7168.58,7071.31,7119.55,0.08496,604.8
2020-04-26 06-PM,BTCEUR,7048.72,7175.08,7048.72,7098.26,1.242,8892.63
2020-04-26 05-PM,BTCEUR,7059.4,7059.4,7040.91,7048.72,0.02255,158.98
2020-04-26 04-PM,BTCEUR,7043.01,7079,7040.65,7059.4,0.232,1640.08
2020-04-26 03-PM,BTCEUR,7130,7162.45,7040.65,7043.01,1.161,8283.38
2020-04-26 02-PM,BTCEUR,7168.06,7199.94,7130,7130,5.426,39034.65
2020-04-26 01-PM,BTCEUR,7175.4,7195.16,7129.36,7168.06,8.454,60673.13
2020-04-26 12-PM,BTCEUR,7170,7181.97,7115.57,7175.4,1.962,14038.91
2020-04-26 11-AM,BTCEUR,7096.78,7170,7040.77,7170,0.4669,3341.46
2020-04-26 10-AM,BTCEUR,7040.62,7130,7040.62,7096.78,1.061,7500.96
2020-04-26 09-AM,BTCEUR,6996.02,7040.63,6996.02,7040.62,2.283,16051.12
2020-04-26 08-AM,BTCEUR,7014.72,7049.51,6995.16,6996.02,4.53,31749.9
2020-04-26 07-AM,BTCEUR,7000,7056.86,7000,7014.72,0.4588,3234.79
2020-04-26 06-AM,BTCEUR,7010,7010,6978.16,7000,0.08291,579.17
2020-04-26 05-AM,BTCEUR,6994.36,7010.01,6992.06,7010,0.1895,1327.95
2020-04-26 04-AM,BTCEUR,7003.37,7009.03,6986.24,6994.36,0.03075,215.15
2020-04-26 03-AM,BTCEUR,7010.45,7015.33,7000.97,7003.37,0.01898,133.01
2020-04-26 02-AM,BTCEUR,7078.01,7078.01,6999.65,7010.45,0.0571,400.36
2020-04-26 01-AM,BTCEUR,6994.81,7078.01,6985.43,7078.01,0.06478,454.65
2020-04-26 12-AM,BTCEUR,7011.22,7050.4,6982.31,6994.81,2.074,14567.65
2020-04-25 11-PM,BTCEUR,6978.91,7011.22,6978.91,7011.22,0.0009003,6.312
2020-04-25 10-PM,BTCEUR,6978.91,6978.91,6978.91,6978.91,0.0,0.0
