Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume EUR
2020-04-29 12-PM,ETHEUR,192.8,194.24,192.8,193.97,3.032,587.68
2020-04-29 11-AM,ETHEUR,194.96,195,192.8,192.8,11.28,2194.54
2020-04-29 10-AM,ETHEUR,191.01,194.96,191.01,194.96,6.065,1175.22
2020-04-29 09-AM,ETHEUR,190.74,191.01,190.74,191.01,4.586,875.98
2020-04-29 08-AM,ETHEUR,190,190.76,190,190.74,0.9759,186.17
2020-04-29 07-AM,ETHEUR,191.02,191.45,190,190,0.7352,140.0
2020-04-29 06-AM,ETHEUR,183.5,191.02,183.5,191.02,8.374,1587.3
2020-04-29 05-AM,ETHEUR,183.5,183.5,183.5,183.5,0.0,0.0
2020-04-29 04-AM,ETHEUR,183.5,183.5,183.5,183.5,0.0,0.0
2020-04-29 03-AM,ETHEUR,183.5,183.5,183.5,183.5,0.0,0.0
2020-04-29 02-AM,ETHEUR,183.5,183.5,183.5,183.5,0.4105,75.32
2020-04-29 01-AM,ETHEUR,183.5,183.5,183.5,183.5,0.0,0.0
2020-04-29 12-AM,ETHEUR,183.5,183.5,183.5,183.5,0.0,0.0
2020-04-28 11-PM,ETHEUR,183.5,183.5,183.5,183.5,0.0,0.0
2020-04-28 10-PM,ETHEUR,182.1,183.5,182.1,183.5,0.2452,45.0
2020-04-28 09-PM,ETHEUR,182.1,182.1,182.1,182.1,0.0,0.0
2020-04-28 08-PM,ETHEUR,182.21,182.21,181.71,182.1,7.073,1287.24
2020-04-28 07-PM,ETHEUR,182.1,182.5,182.1,182.21,0.4194,76.44
2020-04-28 06-PM,ETHEUR,181.61,182.14,181.3,182.1,16.15,2937.06
2020-04-28 05-PM,ETHEUR,181.57,181.96,181.29,181.61,11.39,2068.69
2020-04-28 04-PM,ETHEUR,180.58,183.37,180.58,181.57,21.49,3911.84
2020-04-28 03-PM,ETHEUR,181.42,181.99,180.58,180.58,28.43,5155.64
2020-04-28 02-PM,ETHEUR,182.39,183.42,181.19,181.42,47.35,8626.03
2020-04-28 01-PM,ETHEUR,182.18,182.63,181.96,182.39,41.33,7537.3
2020-04-28 12-PM,ETHEUR,182.56,182.56,181.95,182.18,36.58,6660.43
2020-04-28 11-AM,ETHEUR,181.32,182.72,181.3,182.56,18.59,3373.71
2020-04-28 10-AM,ETHEUR,181.36,181.37,181.29,181.32,25.06,4544.82
2020-04-28 09-AM,ETHEUR,180.5,181.42,180,181.36,28.48,5149.35
2020-04-28 08-AM,ETHEUR,181.13,181.43,180.17,180.5,16.67,3010.6
2020-04-28 07-AM,ETHEUR,180.09,181.43,180.09,181.13,20.72,3754.03
2020-04-28 06-AM,ETHEUR,180.9,181.43,179.98,180.09,1.346,243.28
2020-04-28 05-AM,ETHEUR,180.56,181.94,179.93,180.9,17.77,3211.07
2020-04-28 04-AM,ETHEUR,180.95,181.67,176.5,180.56,17.95,3240.7
2020-04-28 03-AM,ETHEUR,180.95,180.95,180.95,180.95,0.0,0.0
2020-04-28 02-AM,ETHEUR,180.83,181.33,180.31,180.95,0.2074,37.49
2020-04-28 01-AM,ETHEUR,181.39,181.39,178.09,180.83,5.387,975.3
2020-04-28 12-AM,ETHEUR,181.42,181.44,181.21,181.39,7.144,1295.26
2020-04-27 11-PM,ETHEUR,181.26,181.78,181.24,181.42,9.895,1795.67
2020-04-27 10-PM,ETHEUR,181.78,181.78,180.18,181.26,2.275,412.45
2020-04-27 09-PM,ETHEUR,181.41,181.78,181.41,181.78,5.56,1010.71
2020-04-27 08-PM,ETHEUR,179.19,181.75,179.19,181.41,0.06101,11.08
2020-04-27 07-PM,ETHEUR,175.84,179.47,175.84,179.19,3.728,668.73
2020-04-27 06-PM,ETHEUR,175.84,175.84,175.84,175.84,0.0,0.0
2020-04-27 05-PM,ETHEUR,180.64,180.64,175.84,175.84,25.46,4586.48
2020-04-27 04-PM,ETHEUR,179,180.64,176.6,180.64,1.044,187.33
2020-04-27 03-PM,ETHEUR,179,179,179,179,0.0,0.0
2020-04-27 02-PM,ETHEUR,179.91,181.83,179,179,18.36,3312.92
2020-04-27 01-PM,ETHEUR,181.72,181.75,179.91,179.91,88.23,15875.43
2020-04-27 12-PM,ETHEUR,183.8,183.8,179,181.72,3.927,713.3
2020-04-27 11-AM,ETHEUR,183.84,183.84,183.21,183.8,2.241,411.01
2020-04-27 10-AM,ETHEUR,179.5,183.84,179,183.84,2.721,499.45
2020-04-27 09-AM,ETHEUR,184.27,184.27,179.5,179.5,8.963,1626.93
2020-04-27 08-AM,ETHEUR,178.2,184.27,178.2,184.27,1.631,300.55
2020-04-27 07-AM,ETHEUR,180,182.2,178.2,178.2,1.969,357.49
2020-04-27 06-AM,ETHEUR,182.61,183.59,180,180,4.606,835.73
2020-04-27 05-AM,ETHEUR,185.02,185.46,182.61,182.61,2.78,512.29
2020-04-27 04-AM,ETHEUR,183.5,185.02,183.5,185.02,1.625,300.63
2020-04-27 03-AM,ETHEUR,183.5,183.5,183.5,183.5,0.0,0.0
2020-04-27 02-AM,ETHEUR,183.5,183.5,183.5,183.5,0.0,0.0
2020-04-27 01-AM,ETHEUR,183.5,183.5,183.5,183.5,0.0,0.0
2020-04-27 12-AM,ETHEUR,183.5,183.5,183.5,183.5,0.0,0.0
2020-04-26 11-PM,ETHEUR,183.5,183.5,183.5,183.5,0.0,0.0
